benchmark,item_id,evidence_candidates,candidate_pool_evidence_fraction
herbench,herbench:TSO_0248,3,0.046875
herbench,herbench:TSO_0586,1,0.015625
herbench,herbench:TSO_0588,1,0.015625
herbench,herbench:TSO_0589,1,0.015625
herbench,herbench:TSO_0595,1,0.015625
herbench,herbench:TSO_0598,1,0.015625
herbench,herbench:TSO_0684,2,0.03125
herbench,herbench:TSO_0692,2,0.03125
herbench,herbench:TSO_0694,2,0.03125
herbench,herbench:TSO_0696,2,0.03125
herbench,herbench:TSO_0698,2,0.03125
herbench,herbench:TSO_0859,1,0.015625
herbench,herbench:TSO_0864,1,0.015625
herbench,herbench:TSO_0865,1,0.015625
herbench,herbench:TSO_0868,1,0.015625
herbench,herbench:TSO_0901,3,0.046875
herbench,herbench:TSO_0904,3,0.046875
herbench,herbench:TSO_0908,3,0.046875
herbench,herbench:TSO_0927,0,0.0
herbench,herbench:TSO_0928,0,0.0
herbench,herbench:TSO_0940,0,0.0
herbench,herbench:TSO_0945,0,0.0
herbench,herbench:TSO_0949,0,0.0
herbench,herbench:TSO_1025,2,0.03125
herbench,herbench:TSO_1038,2,0.03125
herbench,herbench:TSO_1039,2,0.03125
herbench,herbench:TSO_1332,1,0.015625
herbench,herbench:TSO_1336,1,0.015625
herbench,herbench:TSO_1337,1,0.015625
herbench,herbench:TSO_1400,6,0.09375
herbench,herbench:TSO_1402,6,0.09375
herbench,herbench:TSO_1404,6,0.09375
herbench,herbench:TSO_1424,6,0.09375
herbench,herbench:TSO_1579,1,0.015625
herbench,herbench:TSO_1592,1,0.015625
herbench,herbench:TSO_1784,2,0.03125
herbench,herbench:TSO_1797,2,0.03125
herbench,herbench:TSO_1798,2,0.03125
herbench,herbench:TSO_1900,4,0.0625
herbench,herbench:TSO_1902,4,0.0625
herbench,herbench:TSO_1903,4,0.0625
herbench,herbench:TSO_1914,4,0.0625
herbench,herbench:TSO_1915,4,0.0625
herbench,herbench:TSO_1919,4,0.0625
herbench,herbench:TSO_1920,4,0.0625
herbench,herbench:TSO_2000,10,0.15625
herbench,herbench:TSO_2004,10,0.15625
herbench,herbench:TSO_2013,10,0.15625
herbench,herbench:TSO_2017,10,0.15625
herbench,herbench:TSO_2032,1,0.015625
herbench,herbench:TSO_2043,1,0.015625
herbench,herbench:TSO_2050,2,0.03125
herbench,herbench:TSO_2061,2,0.03125
herbench,herbench:TSO_2067,2,0.03125
herbench,herbench:TSO_2068,2,0.03125
herbench,herbench:TSO_2070,2,0.03125
herbench,herbench:TSO_2071,2,0.03125
herbench,herbench:TSO_2125,4,0.0625
herbench,herbench:TSO_2126,4,0.0625
herbench,herbench:TSO_2133,4,0.0625
herbench,herbench:TSO_2136,4,0.0625
herbench,herbench:TSO_2137,4,0.0625
herbench,herbench:TSO_2140,4,0.0625
lvbench,lvbench:10,0,0.0
lvbench,lvbench:1083,0,0.0
lvbench,lvbench:1097,0,0.0
lvbench,lvbench:1098,0,0.0
lvbench,lvbench:1099,0,0.0
lvbench,lvbench:1102,0,0.0
lvbench,lvbench:1114,0,0.0
lvbench,lvbench:1115,0,0.0
lvbench,lvbench:1123,0,0.0
lvbench,lvbench:1125,0,0.0
lvbench,lvbench:1128,0,0.0
lvbench,lvbench:1129,0,0.0
lvbench,lvbench:1130,0,0.0
lvbench,lvbench:1132,0,0.0
lvbench,lvbench:1137,0,0.0
lvbench,lvbench:117,0,0.0
lvbench,lvbench:1180,0,0.0
lvbench,lvbench:1192,0,0.0
lvbench,lvbench:1225,0,0.0
lvbench,lvbench:1229,0,0.0
lvbench,lvbench:1234,0,0.0
lvbench,lvbench:1240,0,0.0
lvbench,lvbench:1246,0,0.0
lvbench,lvbench:126,0,0.0
lvbench,lvbench:13,0,0.0
lvbench,lvbench:1320,8,0.125
lvbench,lvbench:1322,8,0.125
lvbench,lvbench:1323,8,0.125
lvbench,lvbench:1326,8,0.125
lvbench,lvbench:133,0,0.0
lvbench,lvbench:1330,8,0.125
lvbench,lvbench:1348,1,0.015625
lvbench,lvbench:135,0,0.0
lvbench,lvbench:1352,1,0.015625
lvbench,lvbench:1354,1,0.015625
lvbench,lvbench:136,0,0.0
lvbench,lvbench:1360,1,0.015625
lvbench,lvbench:1364,1,0.015625
lvbench,lvbench:1420,0,0.0
lvbench,lvbench:1425,0,0.0
lvbench,lvbench:1433,0,0.0
lvbench,lvbench:1436,0,0.0
lvbench,lvbench:15,0,0.0
lvbench,lvbench:1558,0,0.0
lvbench,lvbench:1562,0,0.0
lvbench,lvbench:1569,0,0.0
lvbench,lvbench:1572,0,0.0
lvbench,lvbench:1583,0,0.0
lvbench,lvbench:1586,0,0.0
lvbench,lvbench:1589,0,0.0
lvbench,lvbench:1591,0,0.0
lvbench,lvbench:1596,0,0.0
lvbench,lvbench:1601,0,0.0
lvbench,lvbench:1617,0,0.0
lvbench,lvbench:1621,0,0.0
lvbench,lvbench:1625,0,0.0
lvbench,lvbench:1626,0,0.0
lvbench,lvbench:1629,0,0.0
lvbench,lvbench:1636,0,0.0
lvbench,lvbench:1678,0,0.0
lvbench,lvbench:1679,0,0.0
lvbench,lvbench:1680,0,0.0
lvbench,lvbench:1681,0,0.0
lvbench,lvbench:1687,0,0.0
lvbench,lvbench:1689,0,0.0
lvbench,lvbench:1697,0,0.0
lvbench,lvbench:17,0,0.0
lvbench,lvbench:1703,0,0.0
lvbench,lvbench:1744,0,0.0
lvbench,lvbench:1745,0,0.0
lvbench,lvbench:1746,0,0.0
lvbench,lvbench:1757,0,0.0
lvbench,lvbench:1821,0,0.0
lvbench,lvbench:1829,0,0.0
lvbench,lvbench:1830,0,0.0
lvbench,lvbench:1845,0,0.0
lvbench,lvbench:1853,1,0.015625
lvbench,lvbench:1855,1,0.015625
lvbench,lvbench:1856,1,0.015625
lvbench,lvbench:1861,1,0.015625
lvbench,lvbench:1886,1,0.015625
lvbench,lvbench:1890,1,0.015625
lvbench,lvbench:1896,1,0.015625
lvbench,lvbench:19,0,0.0
lvbench,lvbench:1900,1,0.015625
lvbench,lvbench:1904,1,0.015625
lvbench,lvbench:1907,1,0.015625
lvbench,lvbench:1909,1,0.015625
lvbench,lvbench:1915,1,0.015625
lvbench,lvbench:1928,1,0.015625
lvbench,lvbench:1934,1,0.015625
lvbench,lvbench:1937,1,0.015625
lvbench,lvbench:1955,0,0.0
lvbench,lvbench:1957,0,0.0
lvbench,lvbench:1958,0,0.0
lvbench,lvbench:1964,0,0.0
lvbench,lvbench:1965,0,0.0
lvbench,lvbench:202,0,0.0
lvbench,lvbench:2076,1,0.015625
lvbench,lvbench:2079,1,0.015625
lvbench,lvbench:2084,1,0.015625
lvbench,lvbench:2093,30,0.46875
lvbench,lvbench:2096,30,0.46875
lvbench,lvbench:2097,30,0.46875
lvbench,lvbench:2099,30,0.46875
lvbench,lvbench:21,0,0.0
lvbench,lvbench:2113,30,0.46875
lvbench,lvbench:2119,30,0.46875
lvbench,lvbench:2120,30,0.46875
lvbench,lvbench:2157,0,0.0
lvbench,lvbench:2164,0,0.0
lvbench,lvbench:2166,0,0.0
lvbench,lvbench:2174,0,0.0
lvbench,lvbench:2175,0,0.0
lvbench,lvbench:2176,0,0.0
lvbench,lvbench:2179,0,0.0
lvbench,lvbench:218,0,0.0
lvbench,lvbench:2245,1,0.015625
lvbench,lvbench:2248,1,0.015625
lvbench,lvbench:2250,1,0.015625
lvbench,lvbench:2256,1,0.015625
lvbench,lvbench:2259,1,0.015625
lvbench,lvbench:2262,1,0.015625
lvbench,lvbench:2265,1,0.015625
lvbench,lvbench:2268,1,0.015625
lvbench,lvbench:2271,1,0.015625
lvbench,lvbench:2283,0,0.0
lvbench,lvbench:2286,0,0.0
lvbench,lvbench:2290,0,0.0
lvbench,lvbench:2291,0,0.0
lvbench,lvbench:2293,0,0.0
lvbench,lvbench:2303,0,0.0
lvbench,lvbench:2362,0,0.0
lvbench,lvbench:2370,0,0.0
lvbench,lvbench:2376,0,0.0
lvbench,lvbench:2390,0,0.0
lvbench,lvbench:2394,0,0.0
lvbench,lvbench:2407,0,0.0
lvbench,lvbench:2413,0,0.0
lvbench,lvbench:2453,0,0.0
lvbench,lvbench:2455,0,0.0
lvbench,lvbench:2456,0,0.0
lvbench,lvbench:2459,0,0.0
lvbench,lvbench:2468,0,0.0
lvbench,lvbench:2479,0,0.0
lvbench,lvbench:2480,0,0.0
lvbench,lvbench:2483,0,0.0
lvbench,lvbench:2487,0,0.0
lvbench,lvbench:2501,0,0.0
lvbench,lvbench:2502,0,0.0
lvbench,lvbench:252,0,0.0
lvbench,lvbench:254,0,0.0
lvbench,lvbench:255,0,0.0
lvbench,lvbench:2568,1,0.015625
