model,benchmark,specification,estimand,records,source_video_clusters,coefficient,cluster_se,ci_low,ci_high,p_two_sided,predictor_scale,raw_gap,main_abs_sum_gap,outside_support_low,outside_support_high,p_bh_within_specification
perception_lm_8b,lvbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.7131329983159538,0.07259438325802832,0.5691423833302176,0.85712361330169,2.00222314727264e-16,0.5,0.7131329983159529,1.8719290134730049,0.0561521390080452,5.2951116820384,3.604001665090752e-16
perception_lm_8b,lvbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.0503425272008229,0.021903909211233873,0.006896227137814966,0.09378882726383084,0.023583111827743697,0.5,0.7131329983159529,1.8719290134730049,0.0561521390080452,5.2951116820384,0.04244960128993865
perception_lm_8b,lvbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.09693496059616544,0.016463092974152334,0.06428049374175646,0.12958942745057442,5.03951580046534e-08,0.5,0.7131329983159529,1.8719290134730049,0.0561521390080452,5.2951116820384,2.267782110209403e-07
perception_lm_8b,lvbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.05505771855677119,0.018016684289073458,0.019321710695575693,0.09079372641796668,0.0028638388416287394,0.5,0.7131329983159529,1.8719290134730049,0.0561521390080452,5.2951116820384,0.003965315319178255
perception_lm_8b,lvbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2705,103,0.0665899356394884,0.017066350056037568,0.03273891122350596,0.10044096005547083,0.0001713968992140657,0.49810955964673237,0.7131329983159529,1.8719290134730049,0.0561521390080452,5.2951116820384,0.00028046765325938025
perception_lm_8b,nextgqa,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.44816749865216843,0.05089976071211598,0.34808955010519127,0.5482454471991456,4.5802505593608844e-17,0.5,0.44816749865216876,1.2355960464909157,0.06250895224511624,7.549137133535405,1.030556375856199e-16
perception_lm_8b,nextgqa,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.012638116625641876,0.022272159343346667,-0.031152895072826738,0.05642912832411049,0.5707476501300439,0.5,0.44816749865216876,1.2355960464909157,0.06250895224511624,7.549137133535405,0.6043210413141642
perception_lm_8b,nextgqa,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.0461072161922408,0.01812885668358665,0.010462671679408952,0.08175176070507265,0.011373340023174751,0.5,0.44816749865216876,1.2355960464909157,0.06250895224511624,7.549137133535405,0.011373340023174751
perception_lm_8b,nextgqa,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.04031462992904836,0.01870266498005385,0.0035418766316120745,0.07708738322648465,0.03174081771012929,0.5,0.44816749865216876,1.2355960464909157,0.06250895224511624,7.549137133535405,0.03360792463425454
perception_lm_8b,nextgqa,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2862,384,0.056479612360524234,0.017314994777453165,0.02243526456427506,0.09052396015677341,0.0012059817766073774,0.4998142748909216,0.44816749865216876,1.2355960464909157,0.06250895224511624,7.549137133535405,0.0015505479984951995
