model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,candidate_density
qwen3_vl_32b,herbench,uniform8,25,0.36,-0.194164361639846,0.015,0.999994304890151,32.0,0.290425157546997,32
qwen3_vl_32b,herbench,aks_fixedk8,25,0.32,-0.9513042622552348,0.09,0.6151148743207021,128.0,0.3123600006103516,128
qwen3_vl_32b,herbench,bolt_its8,25,0.44,-0.639157104785877,0.05,0.73101948377936,128.0,0.2893921184539795,128
qwen3_vl_32b,herbench,dino_change8,25,0.44,-0.7844736588020714,0.065,0.6900749122800172,128.0,0.2892571258544922,128
qwen3_vl_32b,herbench,dino_diversity8,25,0.48,-0.4123953154285846,0.055,0.8617274598934321,128.0,0.2896027469635009,128
qwen3_vl_32b,herbench,random8,25,0.48,-0.3553658026241157,0.065,0.8012552757061582,128.0,0.2893866729736328,128
qwen3_vl_32b,herbench,siglip_dino_submodular8,25,0.24,-1.733172898565026,0.1,0.730074763002526,128.0,0.2893729305267334,128
qwen3_vl_32b,herbench,siglip_relevance8,25,0.32,-0.9513042622552348,0.09,0.6151148743207021,128.0,0.2898838901519775,128
qwen3_vl_32b,herbench,uniform8,25,0.48,-1.2111868908660313,0.04,0.999994304890151,128.0,0.2896286296844482,128
qwen3_vl_32b,lvbench,aks_fixedk8,25,0.32,-1.615207344691298,0.085,0.7870965535220297,32.0,0.289065294265747,32
qwen3_vl_32b,lvbench,bolt_its8,25,0.2,-3.475133467964697,0.08,0.7470965599949992,32.0,0.2643325138092041,32
qwen3_vl_32b,lvbench,dino_change8,25,0.24,-3.268738433793124,0.07,0.7522578531532222,32.0,0.2647277927398682,32
qwen3_vl_32b,lvbench,dino_diversity8,25,0.36,-2.2338001407186585,0.06,0.8903223237223109,32.0,0.2645189952850342,32
qwen3_vl_32b,lvbench,random8,25,0.32,-2.0385165327083,0.055,0.8219352446658432,32.0,0.2645403861999512,32
qwen3_vl_32b,lvbench,siglip_dino_submodular8,25,0.36,-1.4629652987060942,0.075,0.8258062125406002,32.0,0.2643640518188476,32
qwen3_vl_32b,lvbench,siglip_relevance8,25,0.32,-1.615207344691298,0.085,0.7870965535220297,32.0,0.2651255512237548,32
qwen3_vl_32b,lvbench,uniform8,25,0.2,-4.491299526369767,0.06,0.9999997113724596,32.0,0.2652277278900146,32
qwen3_vl_32b,lvbench,aks_fixedk8,25,0.4,-0.7689275312388145,0.08,0.7231493974140503,128.0,0.2877243518829345,128
qwen3_vl_32b,lvbench,bolt_its8,25,0.24,-2.607601651878868,0.075,0.7404722284130995,128.0,0.2638661003112793,128
qwen3_vl_32b,lvbench,dino_change8,25,0.2,-3.831079447622797,0.07,0.6440942961629539,128.0,0.2642085647583008,128
qwen3_vl_32b,lvbench,dino_diversity8,25,0.36,-1.4508140901420756,0.08,0.8831493530994794,128.0,0.2645814132690429,128
qwen3_vl_32b,lvbench,random8,25,0.28,-2.334721244651519,0.065,0.7905509508061787,128.0,0.264407205581665,128
qwen3_vl_32b,lvbench,siglip_dino_submodular8,25,0.4,-0.0437149308228708,0.08,0.7999997742181907,128.0,0.2641417694091796,128
qwen3_vl_32b,lvbench,siglip_relevance8,25,0.4,-0.7689275312388145,0.08,0.7231493974140503,128.0,0.2642526817321777,128
qwen3_vl_32b,lvbench,uniform8,25,0.16,-3.5255850433235287,0.06,0.9999997113724596,128.0,0.2645063781738281,128
qwen3_vl_32b,nextgqa,aks_fixedk8,25,0.72,5.523917160787042,0.345,0.7057788216273643,32.0,0.3044591426849365,32
qwen3_vl_32b,nextgqa,bolt_its8,25,0.72,5.200310052979662,0.36,0.7470656030382085,32.0,0.2806883716583252,32
qwen3_vl_32b,nextgqa,dino_change8,25,0.76,6.307410564927641,0.315,0.5573971021455257,32.0,0.2811254501342773,32
qwen3_vl_32b,nextgqa,dino_diversity8,25,0.76,6.417283030228103,0.28,0.8438349935343998,32.0,0.2811954116821289,32
qwen3_vl_32b,nextgqa,random8,25,0.76,4.877373545524755,0.265,0.8464146805244033,32.0,0.2811527729034423,32
qwen3_vl_32b,nextgqa,siglip_dino_submodular8,25,0.76,6.453153864619695,0.29,0.7922251600350824,32.0,0.2810555553436279,32
qwen3_vl_32b,nextgqa,siglip_relevance8,25,0.72,5.523917160787042,0.345,0.7057788216273643,32.0,0.2814674186706543,32
qwen3_vl_32b,nextgqa,uniform8,25,0.76,4.999192814585195,0.25,0.9999573493576804,32.0,0.2817138767242431,32
qwen3_vl_32b,nextgqa,aks_fixedk8,25,0.68,4.503216402543419,0.415,0.5281701891487913,128.0,0.3020420169830322,128
qwen3_vl_32b,nextgqa,bolt_its8,25,0.76,5.03406088420477,0.355,0.7278436574794391,128.0,0.2801168918609619,128
qwen3_vl_32b,nextgqa,dino_change8,25,0.84,6.649799734747177,0.405,0.4141563620143293,128.0,0.2807360172271728,128
qwen3_vl_32b,nextgqa,dino_diversity8,25,0.8,6.6230519371676255,0.32,0.8698844172778728,128.0,0.2808571338653564,128
qwen3_vl_32b,nextgqa,random8,25,0.8,5.43503682344139,0.335,0.8179175488090326,128.0,0.2808202266693115,128
qwen3_vl_32b,nextgqa,siglip_dino_submodular8,25,0.8,6.254772398009868,0.335,0.7605990285443341,128.0,0.2808965396881103,128
qwen3_vl_32b,nextgqa,siglip_relevance8,25,0.68,4.503216402543419,0.415,0.5281701891487913,128.0,0.2810798645019531,128
qwen3_vl_32b,nextgqa,uniform8,25,0.72,4.948811175416616,0.26,0.9999573493576804,128.0,0.2809814357757568,128
