model,benchmark,pair_type,cells,mean_interaction,mean_absolute_interaction,score_scale
qwen3_vl_32b,herbench,evidence_outside,1500,-0.0012315418231038,0.0438703703786153,probability
qwen3_vl_32b,herbench,outside_outside,1500,0.0017949841169079,0.0288970146103621,probability
qwen3_vl_32b,lvbench,boundary_outside,1500,0.0,0.076,accuracy
qwen3_vl_32b,lvbench,evidence_boundary,1500,-0.0666666666666666,0.164,accuracy
qwen3_vl_32b,lvbench,evidence_evidence,1500,-0.114,0.226,accuracy
qwen3_vl_32b,lvbench,evidence_outside,1500,-0.0026666666666666,0.092,accuracy
qwen3_vl_32b,lvbench,outside_outside,1500,-0.016,0.06,accuracy
qwen3_vl_32b,lvbench,boundary_outside,1500,-0.0011483288049951,0.627063439234406,logodds
qwen3_vl_32b,lvbench,evidence_boundary,1500,-0.6816292022899397,1.6360958860351875,logodds
qwen3_vl_32b,lvbench,evidence_evidence,1500,-1.791106515336495,2.721787210518756,logodds
qwen3_vl_32b,lvbench,evidence_outside,1500,-0.0810684506083281,0.7867034509604383,logodds
qwen3_vl_32b,lvbench,outside_outside,1500,-0.0340127900317806,0.4851201331926783,logodds
qwen3_vl_32b,lvbench,boundary_outside,1500,0.0007695640080115,0.0517091657590105,probability
qwen3_vl_32b,lvbench,evidence_boundary,1500,-0.0558000686158355,0.1251476673161193,probability
qwen3_vl_32b,lvbench,evidence_evidence,1500,-0.108578934372011,0.1811472213013111,probability
qwen3_vl_32b,lvbench,evidence_outside,1500,-0.0025835509316349,0.065170105755224,probability
qwen3_vl_32b,lvbench,outside_outside,1500,-0.0034129059252886,0.0377531211994985,probability
qwen3_vl_32b,nextgqa,boundary_outside,1500,-0.0126666666666666,0.0753333333333333,accuracy
qwen3_vl_32b,nextgqa,evidence_boundary,1500,-0.008,0.084,accuracy
qwen3_vl_32b,nextgqa,evidence_evidence,1500,-0.026,0.0993333333333333,accuracy
qwen3_vl_32b,nextgqa,evidence_outside,1500,-0.0046666666666666,0.0926666666666666,accuracy
qwen3_vl_32b,nextgqa,outside_outside,1500,0.0013333333333333,0.068,accuracy
qwen3_vl_32b,nextgqa,boundary_outside,1500,-0.1110237059925435,0.8272772837938118,logodds
qwen3_vl_32b,nextgqa,evidence_boundary,1500,-0.3088060070686614,1.187569526387394,logodds
qwen3_vl_32b,nextgqa,evidence_evidence,1500,-0.7232602319263336,1.6255087552671552,logodds
qwen3_vl_32b,nextgqa,evidence_outside,1500,-0.1268629373571789,0.9823764650727276,logodds
qwen3_vl_32b,nextgqa,outside_outside,1500,-0.0455893390579209,0.6665348690981412,logodds
qwen3_vl_32b,nextgqa,boundary_outside,1500,-0.0078703618542361,0.0576870768785404,probability
qwen3_vl_32b,nextgqa,evidence_boundary,1500,-0.0137046870476392,0.0677264024359915,probability
qwen3_vl_32b,nextgqa,evidence_evidence,1500,-0.0279235270200143,0.0881467677341828,probability
qwen3_vl_32b,nextgqa,evidence_outside,1500,-0.0045928219707834,0.0693377219566221,probability
qwen3_vl_32b,nextgqa,outside_outside,1500,-0.00480936723955,0.0484200209358948,probability
qwen3_vl_4b,herbench,boundary_outside,1500,-0.0113333333333333,0.062,accuracy
qwen3_vl_4b,herbench,evidence_boundary,1500,-0.0166666666666666,0.082,accuracy
qwen3_vl_4b,herbench,evidence_evidence,1500,-0.034,0.1233333333333333,accuracy
qwen3_vl_4b,herbench,evidence_outside,1500,-0.0093333333333333,0.0853333333333333,accuracy
qwen3_vl_4b,herbench,outside_outside,1500,-0.0073333333333333,0.0566666666666666,accuracy
qwen3_vl_4b,herbench,boundary_outside,1500,-0.0283809952337657,0.5701318992746005,logodds
qwen3_vl_4b,herbench,evidence_boundary,1500,-0.0986391825602134,0.7933510704380022,logodds
qwen3_vl_4b,herbench,evidence_evidence,1500,-0.0466013325454885,1.0436216788011978,logodds
qwen3_vl_4b,herbench,evidence_outside,1500,-0.0739342866802203,0.7327366168799272,logodds
qwen3_vl_4b,herbench,outside_outside,1500,0.0049782307711446,0.4929758054555762,logodds
qwen3_vl_4b,herbench,boundary_outside,1500,-0.0027039224026282,0.04293012236589,probability
qwen3_vl_4b,herbench,evidence_boundary,1500,-0.0100090976673893,0.0630274344062704,probability
qwen3_vl_4b,herbench,evidence_evidence,1500,-0.0159596384871169,0.0916740601745363,probability
qwen3_vl_4b,herbench,evidence_outside,1500,-0.0023570187640685,0.0599398745707716,probability
qwen3_vl_4b,herbench,outside_outside,1500,-0.0007622952617514,0.0377511460687412,probability
qwen3_vl_4b,lvbench,boundary_outside,1500,0.0073333333333333,0.0913333333333333,accuracy
qwen3_vl_4b,lvbench,evidence_boundary,1500,-0.048,0.176,accuracy
qwen3_vl_4b,lvbench,evidence_evidence,1500,-0.11,0.2206666666666666,accuracy
qwen3_vl_4b,lvbench,evidence_outside,1500,0.0046666666666666,0.098,accuracy
qwen3_vl_4b,lvbench,outside_outside,1500,-0.0033333333333333,0.0726666666666666,accuracy
qwen3_vl_4b,lvbench,boundary_outside,1500,0.0110829140786269,0.5452969995964306,logodds
qwen3_vl_4b,lvbench,evidence_boundary,1500,-0.4299082707889482,1.3347954942008715,logodds
qwen3_vl_4b,lvbench,evidence_evidence,1500,-1.1704042729011304,2.0544670625207013,logodds
qwen3_vl_4b,lvbench,evidence_outside,1500,-0.0395550455971198,0.7033418476292878,logodds
qwen3_vl_4b,lvbench,outside_outside,1500,-0.0112418831597806,0.4006595249838967,logodds
qwen3_vl_4b,lvbench,boundary_outside,1500,0.0028028479702168,0.0513769541030934,probability
qwen3_vl_4b,lvbench,evidence_boundary,1500,-0.0426032395810876,0.125595013605043,probability
qwen3_vl_4b,lvbench,evidence_evidence,1500,-0.0980979720780611,0.1812462804821842,probability
qwen3_vl_4b,lvbench,evidence_outside,1500,-0.0002872917952084,0.0651480207392264,probability
qwen3_vl_4b,lvbench,outside_outside,1500,-0.0002880699882933,0.0405380785019512,probability
qwen3_vl_4b,nextgqa,boundary_outside,1500,0.0053333333333333,0.0853333333333333,accuracy
qwen3_vl_4b,nextgqa,evidence_boundary,1500,-0.01,0.1126666666666666,accuracy
qwen3_vl_4b,nextgqa,evidence_evidence,1500,-0.0233333333333333,0.126,accuracy
qwen3_vl_4b,nextgqa,evidence_outside,1500,0.0,0.1053333333333333,accuracy
qwen3_vl_4b,nextgqa,outside_outside,1500,0.0046666666666666,0.066,accuracy
qwen3_vl_4b,nextgqa,boundary_outside,1500,-0.069278655233054,0.8349689042081523,logodds
qwen3_vl_4b,nextgqa,evidence_boundary,1500,-0.2928709966324936,1.1759025515407049,logodds
qwen3_vl_4b,nextgqa,evidence_evidence,1500,-0.7048711614565855,1.583212721348964,logodds
qwen3_vl_4b,nextgqa,evidence_outside,1500,-0.0716723668425209,0.9378849703888684,logodds
qwen3_vl_4b,nextgqa,outside_outside,1500,-0.053721921289394,0.6488025805769148,logodds
qwen3_vl_4b,nextgqa,boundary_outside,1500,0.0019100766965439,0.0627870397557424,probability
qwen3_vl_4b,nextgqa,evidence_boundary,1500,-0.0162909810809927,0.0892147324502746,probability
qwen3_vl_4b,nextgqa,evidence_evidence,1500,-0.0338480432562332,0.10551166295608,probability
qwen3_vl_4b,nextgqa,evidence_outside,1500,-0.0058378524268712,0.0761378466963959,probability
qwen3_vl_4b,nextgqa,outside_outside,1500,-0.0002591959219612,0.0484763819768098,probability
videollama3_7b,herbench,boundary_outside,1500,-0.0026666666666666,0.0466666666666666,accuracy
videollama3_7b,herbench,evidence_boundary,1500,-0.0066666666666666,0.064,accuracy
videollama3_7b,herbench,evidence_evidence,1500,-0.0086666666666666,0.07,accuracy
videollama3_7b,herbench,evidence_outside,1500,-0.0073333333333333,0.062,accuracy
videollama3_7b,herbench,outside_outside,1500,-0.0006666666666666,0.05,accuracy
videollama3_7b,herbench,boundary_outside,1500,0.0010327786703904,0.0850024607082208,logodds
videollama3_7b,herbench,evidence_boundary,1500,-0.004056324151655,0.0921700998420516,logodds
videollama3_7b,herbench,evidence_evidence,1500,-0.0171241204589605,0.1100785141338904,logodds
videollama3_7b,herbench,evidence_outside,1500,-0.0032835311119755,0.0914272983496387,logodds
videollama3_7b,herbench,outside_outside,1500,-0.0058932769844929,0.0799863995363314,logodds
videollama3_7b,herbench,boundary_outside,1500,0.0002924501210657,0.0127017492932543,probability
videollama3_7b,herbench,evidence_boundary,1500,-0.000969122360302,0.014263926216919,probability
videollama3_7b,herbench,evidence_evidence,1500,-0.0032230786437683,0.0172668893329277,probability
videollama3_7b,herbench,evidence_outside,1500,-0.0007512640410254,0.0138084685010691,probability
videollama3_7b,herbench,outside_outside,1500,-0.0008719972132475,0.0123232174270238,probability
videollama3_7b,lvbench,boundary_outside,1500,-0.018,0.078,accuracy
videollama3_7b,lvbench,evidence_boundary,1500,-0.0353333333333333,0.106,accuracy
videollama3_7b,lvbench,evidence_evidence,1500,-0.076,0.1453333333333333,accuracy
videollama3_7b,lvbench,evidence_outside,1500,-0.0106666666666666,0.0893333333333333,accuracy
videollama3_7b,lvbench,outside_outside,1500,-0.0073333333333333,0.066,accuracy
videollama3_7b,lvbench,boundary_outside,1500,0.0021512738186866,0.1613689712515721,logodds
videollama3_7b,lvbench,evidence_boundary,1500,-0.1086366107370704,0.2792300994402418,logodds
videollama3_7b,lvbench,evidence_evidence,1500,-0.2195976402834057,0.3889847532982627,logodds
videollama3_7b,lvbench,evidence_outside,1500,0.0096365957502275,0.1921338025064518,logodds
videollama3_7b,lvbench,outside_outside,1500,0.0008325117003793,0.1323973378076528,logodds
videollama3_7b,lvbench,boundary_outside,1500,-0.0002153358495619,0.025306388088473,probability
videollama3_7b,lvbench,evidence_boundary,1500,-0.0175608589371309,0.0435640340819601,probability
videollama3_7b,lvbench,evidence_evidence,1500,-0.036994564585477,0.0633845055300845,probability
videollama3_7b,lvbench,evidence_outside,1500,0.0019644865979101,0.0319434181225123,probability
videollama3_7b,lvbench,outside_outside,1500,0.000255291866365,0.0203139873652874,probability
videollama3_7b,nextgqa,boundary_outside,1500,-0.008,0.08,accuracy
videollama3_7b,nextgqa,evidence_boundary,1500,-0.018,0.0926666666666666,accuracy
videollama3_7b,nextgqa,evidence_evidence,1500,-0.0373333333333333,0.0933333333333333,accuracy
videollama3_7b,nextgqa,evidence_outside,1500,-0.0073333333333333,0.09,accuracy
videollama3_7b,nextgqa,outside_outside,1500,-0.0053333333333333,0.0706666666666666,accuracy
videollama3_7b,nextgqa,boundary_outside,1500,-0.0110968308274944,0.1125795785952359,logodds
videollama3_7b,nextgqa,evidence_boundary,1500,-0.0299605662912751,0.1532741149313127,logodds
videollama3_7b,nextgqa,evidence_evidence,1500,-0.0911746107867608,0.1912317619317521,logodds
videollama3_7b,nextgqa,evidence_outside,1500,-0.0151593614096442,0.1262235126563658,logodds
videollama3_7b,nextgqa,outside_outside,1500,0.0009558650606001,0.0994350365893915,logodds
videollama3_7b,nextgqa,boundary_outside,1500,-0.0018465408075196,0.0202363571369518,probability
videollama3_7b,nextgqa,evidence_boundary,1500,-0.0045561960614759,0.026928258907351,probability
videollama3_7b,nextgqa,evidence_evidence,1500,-0.0154546633896632,0.0335058335046593,probability
videollama3_7b,nextgqa,evidence_outside,1500,-0.0016783270268954,0.0223361620316,probability
videollama3_7b,nextgqa,outside_outside,1500,0.000222793346315,0.0176267454052963,probability
