model,benchmark,budget,contrast,metric,source_video_clusters,estimate,ci_low,ci_high,p_two_sided,bootstrap_draws
perception_lm_8b,lvbench,2,exhaustive_minus_pairwise,accuracy_gain,91,0.0,0.0,0.0,1.0,10000
perception_lm_8b,lvbench,3,pairwise_minus_singleton,optimal_set_recovery_gain,91,0.10723443223443223,0.013367673992673995,0.19835393772893767,0.026797320267973202,10000
perception_lm_8b,lvbench,3,pairwise_minus_singleton,logodds_regret_reduction,91,0.0914947694970981,0.03481711650590691,0.15484819721317808,0.0023997600239976003,10000
perception_lm_8b,lvbench,3,pairwise_minus_singleton,gold_probability_regret_reduction,91,0.006537026789854291,0.0019762512764510123,0.011431443623503793,0.006999300069993001,10000
perception_lm_8b,lvbench,3,pairwise_minus_singleton,accuracy_gain,91,0.01684981684981685,0.003571428571428572,0.033516483516483515,0.0245975402459754,10000
perception_lm_8b,lvbench,3,exhaustive_minus_singleton,optimal_set_recovery_gain,91,0.40457875457875453,0.3445054945054945,0.46684981684981686,9.999000099990002e-05,10000
perception_lm_8b,lvbench,3,exhaustive_minus_singleton,logodds_regret_reduction,91,0.17794880954691739,0.13291331156292446,0.23217550369835321,9.999000099990002e-05,10000
perception_lm_8b,lvbench,3,exhaustive_minus_singleton,gold_probability_regret_reduction,91,0.014214811825674658,0.010005656575515845,0.01894204959720836,9.999000099990002e-05,10000
perception_lm_8b,lvbench,3,exhaustive_minus_singleton,accuracy_gain,91,0.023260073260073257,0.007967032967032966,0.04221611721611722,0.0040995900409959,10000
perception_lm_8b,lvbench,3,exhaustive_minus_pairwise,optimal_set_recovery_gain,91,0.2973443223443223,0.23956043956043957,0.3572367216117216,9.999000099990002e-05,10000
perception_lm_8b,lvbench,3,exhaustive_minus_pairwise,logodds_regret_reduction,91,0.08645404004981927,0.060384184439091784,0.1157192549296925,9.999000099990002e-05,10000
perception_lm_8b,lvbench,3,exhaustive_minus_pairwise,gold_probability_regret_reduction,91,0.007677785035820365,0.00536506984820892,0.010212336057209023,9.999000099990002e-05,10000
perception_lm_8b,lvbench,3,exhaustive_minus_pairwise,accuracy_gain,91,0.006410256410256409,0.0,0.014652014652014652,0.2558744125587441,10000
perception_lm_8b,nextgqa,2,pairwise_minus_singleton,optimal_set_recovery_gain,184,0.3917572463768116,0.34646739130434784,0.43841711956521723,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,2,pairwise_minus_singleton,logodds_regret_reduction,184,0.13655781581323986,0.10947751542875278,0.1663471886412431,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,2,pairwise_minus_singleton,gold_probability_regret_reduction,184,0.0074649000545016966,0.005114331714392391,0.01010015208247173,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,2,pairwise_minus_singleton,accuracy_gain,184,0.01358695652173913,0.002717391304347826,0.029891304347826088,0.12018798120187982,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_singleton,optimal_set_recovery_gain,184,0.3917572463768116,0.3460144927536232,0.4365942028985508,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_singleton,logodds_regret_reduction,184,0.13655781581323986,0.10908163740812689,0.1671331347811738,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_singleton,gold_probability_regret_reduction,184,0.0074649000545016966,0.0051445336457638085,0.01012437568798995,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_singleton,accuracy_gain,184,0.01358695652173913,0.002717391304347826,0.029891304347826088,0.1250874912508749,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_pairwise,optimal_set_recovery_gain,184,0.0,0.0,0.0,1.0,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_pairwise,logodds_regret_reduction,184,0.0,0.0,0.0,1.0,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_pairwise,gold_probability_regret_reduction,184,0.0,0.0,0.0,1.0,10000
perception_lm_8b,nextgqa,2,exhaustive_minus_pairwise,accuracy_gain,184,0.0,0.0,0.0,1.0,10000
perception_lm_8b,nextgqa,3,pairwise_minus_singleton,optimal_set_recovery_gain,184,0.10144927536231885,0.029891304347826088,0.17165987318840562,0.0051994800519948,10000
perception_lm_8b,nextgqa,3,pairwise_minus_singleton,logodds_regret_reduction,184,0.08954955853262916,0.036611892686149006,0.14854670971993336,0.0010998900109989002,10000
perception_lm_8b,nextgqa,3,pairwise_minus_singleton,gold_probability_regret_reduction,184,0.003968898947190573,0.0002639402033436782,0.008089697533339556,0.048095190480951906,10000
perception_lm_8b,nextgqa,3,pairwise_minus_singleton,accuracy_gain,184,-0.002717391304347826,-0.01358695652173913,0.008152173913043478,1.0,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_singleton,optimal_set_recovery_gain,184,0.4008152173913043,0.35054347826086957,0.4524796195652169,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_singleton,logodds_regret_reduction,184,0.17640448778563214,0.13628545746861945,0.22510725304457782,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_singleton,gold_probability_regret_reduction,184,0.008599926549319023,0.00562938438236485,0.012245814901811097,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_singleton,accuracy_gain,184,0.005434782608695652,0.0,0.01358695652173913,0.5026497350264973,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_pairwise,optimal_set_recovery_gain,184,0.2993659420289855,0.25271739130434784,0.34782608695652173,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_pairwise,logodds_regret_reduction,184,0.086854929253003,0.061173759220086034,0.11756508882179839,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_pairwise,gold_probability_regret_reduction,184,0.00463102760212845,0.0027506741979226056,0.006913179234242295,9.999000099990002e-05,10000
perception_lm_8b,nextgqa,3,exhaustive_minus_pairwise,accuracy_gain,184,0.008152173913043478,0.0,0.019021739130434784,0.24737526247375263,10000
qwen3_vl_32b,herbench,2,pairwise_minus_singleton,optimal_set_recovery_gain,48,0.5149388227513229,0.463057208994709,0.5714886119378306,9.999000099990002e-05,10000
qwen3_vl_32b,herbench,2,pairwise_minus_singleton,logodds_regret_reduction,48,0.5256023376945149,0.4222391862430403,0.6392205841728065,9.999000099990002e-05,10000
qwen3_vl_32b,herbench,2,pairwise_minus_singleton,gold_probability_regret_reduction,48,0.02673920359481004,0.017115324666971698,0.03797290274904709,9.999000099990002e-05,10000
qwen3_vl_32b,herbench,2,pairwise_minus_singleton,accuracy_gain,48,0.029253472222222226,0.012065972222222221,0.04913194444444444,0.0053994600539946005,10000
qwen3_vl_32b,herbench,2,exhaustive_minus_singleton,optimal_set_recovery_gain,48,0.5149388227513229,0.4619239831349206,0.5722719287367725,9.999000099990002e-05,10000
qwen3_vl_32b,herbench,2,exhaustive_minus_singleton,logodds_regret_reduction,48,0.5256023376945149,0.4206796089027819,0.6368345957846955,9.999000099990002e-05,10000
qwen3_vl_32b,herbench,2,exhaustive_minus_singleton,gold_probability_regret_reduction,48,0.02673920359481004,0.01708361756490882,0.03811832357498478,9.999000099990002e-05,10000
qwen3_vl_32b,herbench,2,exhaustive_minus_singleton,accuracy_gain,48,0.029253472222222226,0.01171875,0.049479166666666664,0.0035996400359964,10000
qwen3_vl_32b,herbench,2,exhaustive_minus_pairwise,optimal_set_recovery_gain,48,0.0,0.0,0.0,1.0,10000
qwen3_vl_32b,herbench,2,exhaustive_minus_pairwise,logodds_regret_reduction,48,0.0,0.0,0.0,1.0,10000
