model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,logodds_rank,accuracy_rank
qwen3_vl_4b,lvbench,dino_diversity8,1549,0.3408650742414461,-1.211765755102766,0.1993221433182698,0.8764689424826209,64.0,0.0800329421396175,8.0,8.0
qwen3_vl_4b,lvbench,random8,1549,0.3647514525500323,-1.086709159450543,0.190848934796643,0.8037031232524444,64.0,0.080034031877216,7.0,5.0
qwen3_vl_4b,lvbench,siglip_dino_submodular8,1549,0.4105874757908327,-0.5391147779030872,0.1917366042608134,0.8216870708586227,64.0,0.0799847298702784,1.0,1.0
qwen3_vl_4b,lvbench,siglip_relevance8,1549,0.4021949644932214,-0.5639626422534825,0.1942382182052937,0.7595271714807882,64.0,0.0800068481573372,2.0,2.0
qwen3_vl_4b,lvbench,uniform8,1549,0.3524854744996772,-1.00949008672081,0.1793899289864428,0.999999703573411,64.0,0.0800326869440048,5.0,6.0
qwen3_vl_4b,nextgqa,aks_fixedk8,5482,0.731302444363371,4.361140411574765,0.2862094126231302,0.5976181917183356,64.0,0.0832139396702273,6.0,6.0
qwen3_vl_4b,nextgqa,bolt_its8,5482,0.7435242612185334,4.692034807620625,0.2759485589201021,0.733573084288007,64.0,0.0832736973169292,3.0,4.0
qwen3_vl_4b,nextgqa,dino_change8,5482,0.7192630426851514,4.07229970897008,0.2651860634804815,0.5362762664939361,64.0,0.0833017544257558,8.0,8.0
qwen3_vl_4b,nextgqa,dino_diversity8,5482,0.7466253192265596,4.692415724066404,0.2499771981028821,0.8420422612502233,64.0,0.0833627708808038,2.0,3.0
qwen3_vl_4b,nextgqa,random8,5482,0.7340386720175118,4.478987579475495,0.2606712878511492,0.8039653691676504,64.0,0.0833637778318002,5.0,5.0
qwen3_vl_4b,nextgqa,siglip_dino_submodular8,5482,0.7499087924115286,4.789737139756331,0.2666453848960233,0.798319388464003,64.0,0.0833671915405034,1.0,1.0
qwen3_vl_4b,nextgqa,siglip_relevance8,5482,0.731302444363371,4.361140411574765,0.2862094126231302,0.5976181917183356,64.0,0.0833537846923265,6.0,6.0
qwen3_vl_4b,nextgqa,uniform8,5482,0.7486318861729296,4.665697503562795,0.2286574242977015,0.9999650866261828,64.0,0.0833478681104368,4.0,2.0
qwen3_vl_4b,videomme,aks_fixedk8,2700,0.5607407407407408,1.950665376680528,,0.6920951917962167,64.0,0.0793635234126338,3.0,3.0
qwen3_vl_4b,videomme,bolt_its8,2700,0.5714814814814815,2.134166539406246,,0.739460753321632,64.0,0.0789331152704027,2.0,2.0
qwen3_vl_4b,videomme,dino_change8,2700,0.5381481481481482,1.573267539515533,,0.7169096361707167,64.0,0.0789681675699022,8.0,8.0
qwen3_vl_4b,videomme,dino_diversity8,2700,0.55,1.7803355865246808,,0.8727991443858245,64.0,0.0789064067381399,6.0,5.0
qwen3_vl_4b,videomme,random8,2700,0.5418518518518518,1.7717353453796616,,0.8000776091105167,64.0,0.0789231819576687,7.0,7.0
qwen3_vl_4b,videomme,siglip_dino_submodular8,2700,0.5774074074074074,2.2171802472548734,,0.8154509198349512,64.0,0.0788573245648984,1.0,1.0
qwen3_vl_4b,videomme,siglip_relevance8,2700,0.5607407407407408,1.950665376680528,,0.6920951917962167,64.0,0.0789501439200507,3.0,3.0
qwen3_vl_4b,videomme,uniform8,2700,0.547037037037037,1.8589058079025047,,0.9999941350954964,64.0,0.0789528057310316,5.0,6.0
videollama3_7b,herbench,aks_fixedk8,1971,0.3764586504312531,-1.0993003077138326,0.0227168949771689,0.7203208688075747,64.0,1.6214229656560115,1.0,2.0
videollama3_7b,herbench,bolt_its8,1971,0.3764586504312531,-1.1021631889256451,0.0213470319634703,0.7481124532755875,64.0,1.6211576148497158,3.0,2.0
videollama3_7b,herbench,dino_change8,1971,0.3703703703703703,-1.1099851554238866,0.030593607305936,0.6253735984154533,64.0,1.6212760971500932,8.0,7.0
videollama3_7b,herbench,dino_diversity8,1971,0.3663115169964485,-1.109025623767487,0.0207762557077625,0.8717134172657633,64.0,1.6211428016892913,7.0,8.0
videollama3_7b,herbench,random8,1971,0.3795027904616945,-1.1065094025412463,0.0244292237442922,0.8014409623047865,64.0,1.6212864289847442,5.0,1.0
videollama3_7b,herbench,siglip_dino_submodular8,1971,0.3708777270421106,-1.105270545938648,0.0248858447488584,0.7915517058917059,64.0,1.6212852030221367,4.0,6.0
