model,benchmark,metric,new_selector,comparator,items,source_video_clusters,equal_video_estimate,ci_low,ci_high,p_two_sided,p_bh_within_metric
videollama3_7b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.02041354981463468,-0.03951453178026305,0.08172940448729173,0.5148485151484852,0.6739835107398352
internvl35_38b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,49,0.11542284142678164,-0.012822004381327788,0.24222507875195126,0.08789121087891211,0.1562510415625104
internvl35_38b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,103,0.1589966691003791,0.027712017001123534,0.29546928402484446,0.023297670232976703,0.0615211206152112
internvl35_38b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,495,380,0.042146199985435194,-0.1008236574750552,0.1825600445585816,0.5600439956004399,0.7012724814475074
internvl35_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,49,0.004620553751479807,-0.14480023401099235,0.14900346561482622,0.9512048795120488,0.9591656218993484
internvl35_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,103,0.22625084051637367,0.0803999653115937,0.3723714811016732,0.0035996400359964,0.0221977802219778
internvl35_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,495,380,-0.020315928262385954,-0.1639146699795953,0.12549061189429675,0.7871212878712128,0.8821071381233969
perception_lm_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,49,0.24092536347396032,0.0732229809436311,0.4050397018468936,0.006899310068993101,0.030542400305424003
perception_lm_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,103,0.2672885903292597,0.08136231756633572,0.4580528918940364,0.006199380061993801,0.030542400305424003
perception_lm_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,495,380,0.007173193224780125,-0.1458573728560915,0.16184076623311214,0.9218078192180782,0.9416249864375266
qwen3_vl_32b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,49,0.39028147965821675,-0.01198465658404924,0.7883884618180079,0.06369363063693631,0.12918144805237788
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,103,0.7294387700651912,0.40774264189372605,1.0703719535633107,9.999000099990002e-05,0.0017998200179982003
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,495,380,0.13366065249820178,-0.15239555533711058,0.41826682425624345,0.3608639136086391,0.49489908152041934
qwen3_vl_4b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,49,0.2962697231616362,-0.06440659337345808,0.6489567943143184,0.11438856114388561,0.19065679638932656
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,103,0.40877491753540535,0.11321219240999858,0.7282608461873797,0.0100989901009899,0.03728857883442425
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,495,380,0.19097029239075086,-0.08105379587666742,0.4652028180530696,0.16878312168783122,0.2670853793741505
videollama3_7b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,49,-0.0024733486743572213,-0.03240123324018513,0.02923252030053347,0.8772122787721228,0.915351943066563
videollama3_7b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,103,0.05995325526344007,-0.008019912876356677,0.13096713330695925,0.09109089091090891,0.15803720832736004
videollama3_7b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,495,380,0.0034349896644830288,-0.037611760062481105,0.04587499159936109,0.8732126787321268,0.915351943066563
internvl35_38b,herbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,49,0.07966319547695414,-0.08986810454725322,0.2524972460442099,0.3658634136586341,0.4970219959136162
internvl35_38b,lvbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,103,0.24533062737190872,0.044215354270486784,0.4490530045365894,0.0188981101889811,0.053359369945358406
internvl35_38b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,495,380,-0.015960861600327256,-0.16903404150186355,0.14258369630782003,0.8358164183581642,0.9049440920569598
internvl35_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,49,-0.08687990645372769,-0.25686558719924774,0.08601946613452485,0.3144685531446855,0.4396453558527642
internvl35_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,103,0.26719437659114603,0.04020524062546343,0.4962514747440689,0.024897510248975102,0.06402216921165026
internvl35_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,495,380,-0.06838927134610426,-0.22908736427306606,0.0898848643427679,0.39406059394060594,0.530324537639694
perception_lm_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,49,0.31263538001068886,0.09518886668067288,0.5272786965547905,0.008099190080991902,0.03191032248126539
perception_lm_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,103,0.2158959078577935,-0.03153061325430858,0.45932694845501043,0.08899110088991101,0.15627705522130714
perception_lm_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,495,380,0.014845890714724364,-0.17007043156851645,0.19869717328982991,0.8747125287471252,0.915351943066563
qwen3_vl_32b,herbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,49,0.1316926757408044,-0.28470112158596605,0.5359889395979505,0.5429457054294571,0.6918954122286886
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,103,0.9241948995779182,0.4024643417187919,1.451018681635743,0.0006999300069993001,0.0067193280671932806
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,495,380,0.34512068873428664,-0.015750917340185827,0.7182005516217974,0.0690930906909309,0.1362932199930692
qwen3_vl_4b,herbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,49,0.19567355419512178,-0.1541450684732894,0.540734216425208,0.264973502649735,0.38541600385416
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,103,0.4666323025689622,0.08618935528327057,0.8608944158517443,0.0212978702129787,0.05897871751286409
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,495,380,0.36372184784555095,0.03809567314894696,0.7034966072671524,0.028997100289971003,0.06868821314589851
videollama3_7b,herbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,49,-0.036603642965406434,-0.073877610895608,-0.00010585259474856399,0.0560943905609439,0.11878812118788122
videollama3_7b,lvbench,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,500,103,0.03742069274908723,-0.029305198573903346,0.10554543646375551,0.29257074292570745,0.4171305641713057
videollama3_7b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,bolt_its8,495,380,-0.03639358045643588,-0.08530444526800829,0.01249417021610721,0.15148485151484853,0.24788430247884305
internvl35_38b,herbench,correct,mdp3_8,uniform8,500,49,0.02656040105019697,-0.018479902325565584,0.07655608422190055,0.2957704229577042,0.6374049162247954
internvl35_38b,lvbench,correct,mdp3_8,uniform8,500,103,0.05551702881799969,0.010054900601017106,0.10304399753428876,0.0206979302069793,0.15622437756224378
internvl35_38b,nextgqa,correct,mdp3_8,uniform8,495,380,-0.004385964912280702,-0.02983552631578947,0.021052631578947368,0.7594240575942406,0.952809066919395
internvl35_8b,herbench,correct,mdp3_8,uniform8,500,49,-0.016219834587181528,-0.07110819311074412,0.04609502317410479,0.5980401959804019,0.8723491287234914
internvl35_8b,lvbench,correct,mdp3_8,uniform8,500,103,0.07171752196024042,0.029376444752658343,0.11375414162428725,0.0016998300169983002,0.030596940305969402
